
3,2,239,0
3,2,238,0
3,3,238,0
2,3,239,0
1,1,248,0
0,1,247,0
2,4,249,0
2,4,248,0
0,4,254,0
0,4,254,0
0,4,254,0
0,4,254,0
1,4,252,0
0,2,250,0
1,4,251,0
0,2,250,0
3,5,255,0
3,5,255,0
3,5,255,0
3,5,255,0
3,5,255,0
3,5,255,0
3,5,255,0
3,5,255,0
1,4,251,0
1,4,251,0
1,2,254,0
1,2,254,0
0,0,251,0
2,2,253,0
2,4,249,0
2,2,252,0
0,2,253,0
0,2,253,0
1,3,254,0
1,3,254,0
77,85,212,0
161,171,250,0
211,225,255,0
221,239,255,0
8,4,246,0
8,8,238,0
8,4,245,0
7,8,236,0
4,4,237,0
4,5,237,0
3,4,236,0
3,4,236,0
1,2,234,0
1,2,234,0
1,2,234,0
1,2,234,0
2,2,232,0
0,1,228,0
1,1,231,0
2,3,231,0
4,4,239,0
0,2,234,0
3,3,239,0
1,2,234,0
1,3,254,0
1,3,254,0
1,3,254,0
1,3,254,0
1,3,254,0
1,3,254,0
1,2,254,0
1,3,254,0
1,3,255,0
1,3,255,0
1,3,255,0
1,3,255,0
1,3,255,0
1,3,255,0
1,3,255,0
1,3,255,0
0,4,145,0
2,1,144,0
2,4,149,0
3,1,146,0
1,0,122,0
0,3,123,0
0,3,122,0
0,3,122,0
1,3,255,0
1,3,255,0
1,3,255,0
1,3,255,0
0,4,253,0
0,4,253,0
0,4,254,0
0,4,254,0
22,28,234,0
18,23,229,0
22,27,234,0
23,29,235,0
10,17,221,0
15,19,223,0
10,17,221,0
15,19,223,0
6,16,197,0
4,14,195,0
5,13,192,0
1,9,187,0
13,19,223,0
13,19,223,0
12,18,222,0
13,19,223,0
12,18,223,0
12,18,223,0
14,18,227,0
14,18,227,0
119,84,33,1
113,78,27,1
114,80,28,1
120,85,33,1
113,79,31,1
116,83,34,1
120,86,37,1
109,75,26,1
98,67,19,1
94,66,18,1
106,72,28,1
98,65,21,1
96,65,27,1
100,69,31,1
93,63,24,1
93,63,26,1
81,59,20,1
82,57,18,1
80,58,19,1
84,59,20,1
93,62,24,1
95,64,26,1
94,64,26,1
94,64,26,1
144,106,41,1
142,105,40,1
136,98,36,1
136,97,36,1
145,107,43,1
139,101,37,1
141,104,39,1
135,98,33,1
135,99,37,1
134,99,35,1
137,100,38,1
136,100,38,1
145,109,47,1
140,102,39,1
143,107,45,1
136,97,35,1
137,101,39,1
146,110,47,1
137,101,38,1
140,104,42,1
140,104,43,1
136,100,37,1
133,97,34,1
130,95,33,1
194,83,1,1
194,83,1,1
194,83,1,1
194,82,1,1
187,90,9,1
183,92,10,1
184,71,0,1
182,76,0,1
183,70,0,1
183,71,1,1
184,71,1,1
184,71,1,1
185,71,1,1
188,69,0,1
185,71,1,1
188,70,0,1
190,75,0,1
190,75,0,1
191,75,1,1
191,75,1,1
192,76,0,1
192,76,0,1
193,77,1,1
193,77,0,1
110,62,22,1
111,63,23,1
109,61,21,1
112,64,24,1
115,66,22,1
114,65,21,1
114,65,20,1
115,66,21,1
102,57,12,1
102,57,10,1
106,57,12,1
107,57,13,1
205,194,207,2
205,196,209,2
210,197,208,2
207,197,208,2
238,224,217,2
239,225,218,2
241,228,221,2
240,226,220,2
249,231,223,2
249,232,220,2
247,229,220,2
247,229,221,2
250,230,225,2
248,231,222,2
250,231,225,2
248,231,222,2
253,234,222,2
253,234,222,2
250,233,225,2
250,232,225,2
233,219,214,2
232,218,213,2
230,214,212,2
230,214,212,2
245,232,231,2
247,235,230,2
245,234,228,2
247,235,230,2
246,233,230,2
246,233,232,2
246,233,231,2
246,233,231,2
251,254,250,2
251,253,251,2
251,254,251,2
251,254,251,2
251,254,251,2
251,254,251,2
251,254,251,2
251,254,251,2
251,254,251,2
250,253,250,2
251,254,251,2
250,253,250,2
251,254,251,2
251,254,251,2
251,254,251,2
251,254,251,2
2,3,251,0
2,3,251,0
1,3,254,0
1,3,254,0
4,6,255,0
7,3,255,0
105,84,30,1
145,107,45,1
139,101,42,1
138,102,42,1
118,84,29,1
224,233,210,1
110,75,23,1
207,196,208,2
211,196,210,2
252,255,251,2
252,253,254,2
251,254,251,2
249,253,250,2
